code	ltr	pro	num	punc	eur	notes
.	E					
-	T					
..	I					
.-	A					
-.	N					
...	S					
--	M					
..-	U					
.-.	R					
-..	D					
....	H					
.--	W					
-.-	K					
--.	G					
...-	V					
..-.	F					
.-..	L					
-...	B					
.....			5			
---	O					
..--					Ü Ŭ	
.-.-		AA			Ä Æ Ą	
.--.	P					
-..-	X					
-.-.	C					
--..	Z					
....-			4			
...-.		SN			Ŝ	
..-..					Đ É Ę	
.-...		AS		&		a
-....			2			
.---	J					
-.--	Y					
--.-	Q					
---.					Ó Ö Ø	
...--			3			
..--.					Ð	
.-..-					È Ł	
.-.-.		AR		+		
.--..					Þ	
-...-		BT		=		
-..-.				/		
-.-..					Ć Ĉ Ç	
--...			7			
----					CH Ĥ Š	
..---			2			
.--.-					À Å	
.---.				'	Ĵ	
-.-.-		CT				
-.--.		KN		(		
--..-					Ż	
--.-.					Ĝ	
---..			8			
...-.-		SK				
..--..				?		
.-..-.				""""		
-....-				-		
...-...					Ś	
........		HH				
.----			1			
--.--					Ń Ñ	
----.			9			
..--.-				_		a
.-.-.-				.		
.--.-.				@		
-.-.-.				;		
--..-.					Ź	
---...				:		
...-..-				$		a
-----			0			
-..---		NJ				
-.-.--				!		
-.--.-				)		
--..--				,		
